Neighbourhood,Year,Home price,Change in housing pricing,Low income population,Low income population percentage,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_low_income_pop_per,Future_Change_housing_pricing 
Flemingdon-Park,Eleven,254389,0.290869142,6750,30.45,2.5,22165,3290,3050,48,8,185,717,16,34.67,0.457405784
Forest-Hill-North,Eleven,581755,0.330285194,1840,14.75,1.6,12475,1770,1365,53,12,144,325,10,15.31,0.381184519
Forest-Hill-South,Eleven,978851,0.352258159,965,8.83,2.5,10925,1475,320,28,25,175,233,3,10.62,0.388265425
Glenfield-Jane-Heights,Eleven,237430,0.236131719,7465,23.78,5.2,31395,3915,2755,88,93,587,1587,30,25.50,0.469561555
Greenwood-Coxwell,Eleven,371170,0.423842076,2600,18.46,1.7,14075,2275,540,44,23,315,919,7,19.59,0.515661287
Guildwood,Eleven,303359,0.245280308,855,8.71,3.8,9815,790,235,29,7,67,0,3,7.46,0.500037909
Henry-Farm,Eleven,390382,0.310081448,3235,28.54,2.6,11340,2005,2550,27,77,717,0,8,29.54,0.514421771
High-Park-North,Eleven,508638,0.340563648,3400,15.97,1.9,21300,4630,1500,61,27,254,661,7,16.27,0.457203355
High-Park-Swansea,Eleven,487233,0.346587329,2470,11.36,5.3,21750,3550,620,77,87,448,473,2,10.87,0.449651399
Highland-Creek,Eleven,380509,0.369259502,1020,7.79,5.1,13100,1730,395,70,8,91,3,2,10.53,0.47818317
Hillcrest-Village,Eleven,405828,0.297350174,3005,17.02,5.3,17650,1700,1350,80,19,424,1028,0,21.91,0.53757996
Humber-Heights,Eleven,381728,0.288359378,1810,17.10,2.8,10580,1080,405,58,4,82,669,3,13.52,0.494886411
Humber-Summit,Eleven,278362,0.273892171,1905,15.21,7.9,12530,1555,1050,103,14,1373,124,7,19.73,0.426825501
Humbermede,Eleven,248010,0.283376801,3480,21.95,4.4,15850,2265,1890,46,16,374,218,16,22.64,0.446465868
Humewood-Cedarvale,Eleven,525038,0.366535576,2085,14.78,1.9,14110,2750,835,29,10,139,445,8,15.56,0.467834709
Ionview,Eleven,243284,0.274939734,3135,23.95,2,13095,1925,1555,22,15,148,332,12,23.28,0.515504513
Islington-City-Centre-West,Eleven,430196,0.363364391,5500,14.44,16.4,38070,6020,3305,245,128,2263,1245,16,15.49,0.419020632
Junction-Area,Eleven,390984,0.355141256,1385,9.87,2.6,14015,2665,635,93,9,631,59,11,13.23,0.479167945
Keelesdale-Eglinton-West,Eleven,289621,0.309536405,1880,17.67,1.7,10640,1485,965,24,13,266,349,4,18.22,0.469520511
Kennedy-Park,Eleven,245635,0.281003588,4845,28.40,3.6,17050,2165,1355,73,17,261,1661,14,26.28,0.485798034
Kensington-Chinatown,Eleven,514797,0.479544063,5570,30.12,1.5,18500,4380,1215,49,82,1883,2597,5,32.32,0.45372642
Kingsview-Village-The-Westway,Eleven,306583,0.262869336,4805,22.12,5.1,21725,2670,1885,70,24,160,367,55,24.86,0.432753936
Kingsway-South,Eleven,667899,0.333709411,315,3.44,2.6,9175,645,120,33,9,195,0,0,4.48,0.403206173
L-Amoreaux,Eleven,319136,0.298805527,1460,18.43,7.1,44915,5455,4355,138,88,443,1552,12,23.23,0.542229645
Lambton-Baby-Point,Eleven,512574,0.24258255,9730,21.66,1.7,7920,940,235,28,7,66,644,0,18.47,0.42357006
Lansing-Westgate,Eleven,536190,0.272202265,2325,15.88,5.4,14640,2475,1765,44,37,488,0,3,17.51,0.533184132
Lawrence-Park-North,Eleven,680867,0.296410469,835,5.74,2.3,14540,1345,395,55,54,381,110,0,6.71,0.474155746
Lawrence-Park-South,Eleven,760426,0.265387899,1040,6.90,3.2,15075,1505,490,39,7,167,113,1,7.25,0.525376565
Leaside,Eleven,596479,0.369836808,1145,6.73,4.8,17010,1230,380,62,10,313,89,5,6.77,0.455117448
Little-Portugal,Eleven,471220,0.339873184,1990,16.51,1.2,12055,2855,210,22,18,344,386,6,15.10,0.490456687
Long-Branch,Eleven,356138,0.322846286,1275,13.24,2.3,9630,1290,500,21,4,170,106,20,17.60,0.518141844
Malvern,Eleven,224682,0.257496894,9530,21.14,8.9,45085,6315,3455,180,84,625,927,32,20.40,0.505741448
Maple-Leaf,Eleven,332584,0.298365059,1610,15.79,2.5,10195,1305,930,26,4,47,175,5,14.79,0.457273952
Markland-Wood,Eleven,401219,0.29770422,900,8.62,2.9,10435,875,310,29,14,106,0,4,8.24,0.398012058
Milliken,Eleven,309410,0.311303802,5075,18.68,9.4,27160,3555,2740,160,137,2090,247,1,21.68,0.532891632
Mimico,Eleven,448683,0.299999131,3965,14.94,6.9,26550,4660,1570,126,22,619,947,36,17.84,0.440464649
Morningside,Eleven,247293,0.269836298,3810,21.66,5.6,17585,2285,1240,35,32,108,460,13,23.40,0.51236792
Moss-Park,Eleven,485293,0.376588858,4325,26.52,1.4,16310,3965,1075,71,19,841,3133,14,28.75,0.500510001
Mount-Dennis,Eleven,252150,0.272655694,3065,23.32,2.1,13150,1935,1170,59,6,184,864,21,24.68,0.481173904
Mount-Olive-Silverstone-Jamestown,Eleven,234097,0.24104459,8695,26.52,4.6,32790,4690,5845,70,44,271,1146,41,27.78,0.490053269
Mount-Pleasant-East,Eleven,646083,0.386438256,1485,9.29,3.1,15980,2290,585,58,47,463,333,5,10.31,0.430421478
Mount-Pleasant-West,Eleven,643200,0.403756883,4980,17.42,1.3,28590,8880,2765,45,135,1129,1443,11,20.31,0.431626244
New-Toronto,Eleven,321344,0.320647863,2605,23.90,3.5,10905,1565,475,41,14,368,1189,18,24.43,0.469935645
Newtonbrook-East,Eleven,522745,0.314208928,4070,24.78,4.1,16425,2775,1920,96,50,400,300,1,26.46,0.517217764
Newtonbrook-West,Eleven,429706,0.364769927,5835,25.31,4.7,23050,3550,4200,95,55,483,261,1,26.08,0.523562622
Niagara,Eleven,493594,0.336866937,2920,13.73,3.1,21000,8625,900,64,15,591,2052,10,13.42,0.560442388
North-Riverdale,Eleven,574007,0.374955985,1485,12.18,1.8,12195,1700,260,43,31,327,163,4,10.70,0.430756071
North-St-James-Town,Eleven,583717,0.258952277,6985,39.17,0.4,17825,4285,3315,19,74,243,1715,35,35.97,0.496408362
O-Connor-Parkview,Eleven,323840,0.279828007,5365,39.75,4.9,18315,2240,1300,95,18,346,693,21,22.28,0.521220356
Oakridge,Eleven,333031,0.291208195,3890,18.46,1.8,13505,1990,2575,56,7,201,1464,9,41.86,0.473430401
Oakwood-Vaughan,Eleven,358120,0.371224652,3710,20.26,2.2,21075,3130,1650,40,9,255,966,9,18.41,0.55957221
Palmerston-Little-Italy,Eleven,586936,0.469058799,1990,14.48,1.4,13735,3915,430,40,57,521,262,1,13.71,0.427475909
Parkwoods-Donalda,Eleven,371636,0.314432242,6940,20.05,7.5,34620,4580,3905,109,32,209,786,63,20.54,0.554790171
Playter-Estates-Danforth,Eleven,633347,0.345757238,920,12.02,0.9,7655,1230,175,41,37,301,192,2,13.33,0.420156723
Pleasant-View,Eleven,357937,0.316651585,2410,14.93,3,16145,1945,1615,43,11,124,0,9,17.51,0.546970556
Princess-Rosethorn,Eleven,559293,0.330414615,975,8.71,5.2,11200,800,500,61,6,74,0,4,7.24,0.411828863
Regent-Park,Eleven,522231,0.355694122,4275,42.72,0.6,10010,1675,840,20,1,143,2591,4,41.79,0.439361126
Rexdale-Kipling,Eleven,244688,0.303174747,1710,16.30,2.5,10485,1245,800,40,6,144,432,19,18.33,0.449212875
Rockcliffe-Smythe,Eleven,276297,0.29692546,4900,22.01,5.1,22270,3015,1090,104,12,314,1252,17,22.75,0.471626547
Roncesvalles,Eleven,527449,0.405177949,2885,19.17,1.5,15050,2830,1100,41,61,540,501,6,19.80,0.512413522
Rosedale-Moore-Park,Eleven,933660,0.339306463,1930,9.35,4.6,20635,2555,750,91,40,683,573,9,10.08,0.416242529
Rouge,Eleven,316913,0.311141265,5340,11.63,37.6,45905,6130,2355,199,25,877,522,23,9.45,0.513871595
Runnymede-Bloor-West-Village,Eleven,476028,0.369699202,885,9.19,1.6,9635,1200,205,55,24,334,6,1,6.85,0.435505895
Rustic,Eleven,323949,0.26232913,2505,25.17,2.1,9950,1205,425,30,2,48,1435,9,31.08,0.457837499
Scarborough-Village,Eleven,300303,0.320106029,5445,32.78,3.1,16615,2075,1870,29,24,228,922,22,31.84,0.465849492
South-Parkdale,Eleven,455908,0.45213054,6420,30.21,2.3,21245,4795,2965,40,14,564,1545,21,28.79,0.497258219
South-Riverdale,Eleven,432851,0.424072143,4345,16.94,9.6,25640,4645,1165,109,36,1197,1313,7,18.13,0.486962026
St-Andrew-Windfields,Eleven,689617,0.389597619,2730,15.20,7.3,17955,1740,1585,151,34,591,0,3,15.78,0.537721663
Steeles,Eleven,333901,0.319615538,4675,18.69,4.6,25010,3185,2745,80,9,237,0,0,20.73,0.502729851
Stonegate-Queensway,Eleven,458574,0.31883662,2765,11.20,7.9,24690,2845,1465,106,66,595,129,12,11.56,0.386755464
Tam-O-Shanter-Sullivan,Eleven,314609,0.286055324,6760,24.67,5.5,27390,3270,3075,55,59,343,985,10,23.41,0.499953911
The-Beaches,Eleven,537403,0.371069423,1935,9.16,3.6,21135,2580,505,44,24,531,193,17,9.32,0.419355679
Thistletown-Beaumonde-Heights,Eleven,313783,0.263404774,1790,17.66,3.4,10140,1275,1070,45,14,217,447,7,17.37,0.467839239
Thorncliffe-Park,Eleven,290384,0.274279119,7470,38.86,3.1,19225,3105,4165,62,18,449,551,11,44.96,0.432423963
Trinity-Bellwoods,Eleven,541819,0.381405476,2520,15.00,1.7,16805,4075,860,41,34,715,42,1,14.41,0.525917327
University,Eleven,665579,0.362160779,1435,18.44,1.4,7790,1945,370,45,59,483,359,1,19.65,0.33099001
Victoria-Village,Eleven,323910,0.315450687,3840,22.35,4.7,17180,2380,1605,73,9,431,891,15,25.44,0.473242567
Waterfront-Communities,Eleven,521521,0.392125102,7135,16.45,7.6,43365,17275,3190,90,40,2899,3990,15,16.42,0.443620867
West-Hill,Eleven,230322,0.244829021,6430,24.22,9.6,26550,3060,2080,80,33,424,2089,22,24.75,0.523467146
West-Humber-Clairville,Eleven,259793,0.29202039,4750,13.93,30.09,34100,5115,2740,338,101,2463,952,38,15.64,0.442321387
Westminster-Branson,Eleven,372816,0.278614985,6560,25.78,3.7,25445,3480,4835,36,5,83,530,15,24.19,0.465814235
Weston,Eleven,267516,0.24884926,4225,23.25,2.6,18170,2825,1080,75,49,536,1048,32,29.12,0.437865399
Weston-Pellam-Park,Eleven,290052,0.339410396,2460,20.48,1.5,12015,1920,610,32,6,178,695,6,20.36,0.499465613
Wexford-Maryvale,Eleven,323090,0.27859212,4135,15.30,10.2,27020,3190,1745,182,64,945,578,37,18.93,0.529060014
Willowdale-East,Eleven,611921,0.371980189,11195,24.86,5,45025,9835,6650,61,64,849,208,3,30.18,0.518869266
Willowdale-West,Eleven,509686,0.319411439,2895,19.29,2.9,15005,2655,1525,25,31,363,527,1,26.78,0.584777687
Willowridge-Martingrove-Richview,Eleven,346289,0.270967221,2735,12.81,5.5,21345,2340,1235,81,31,169,561,24,14.98,0.379264141
