Neighbourhood,Year ,Home price,Change in housing pricing,Low income population,Change in low income pop,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_change_low_income_pop,Future_Change_housing_pricing 
Birchcliffe-Cliffside,2011,385985,0.340295502,21295,-0.068270375,6,21860,2295,500,104,23,345,870,16,-0.039869742,0.412430535
Black-Creek,2011,218144,0.219383221,21925,0.01163448,3.4,22060,3035,2700,94,36,306,1432,27,-0.036038997,0.495750513
Blake-Jones,2011,418244,0.393779638,7705,-0.005187215,0.9,7765,1215,370,11,12,133,658,4,0.005187215,0.480965656
Briar-Hill-Belgravia,2011,327210,0.332429329,14300,0.009483571,1.8,14295,2255,1580,45,30,477,328,9,-0.007531717,0.518834999
Bridle-Path-Sunnybrook-York-Mills,2011,960839,0.266262871,8645,0.068957012,8.8,8715,585,355,66,8,58,0,0,0.042057854,0.521877234
Broadview-North,2011,420396,0.320231388,11440,-0.170770677,1.7,11565,1945,1035,44,10,129,238,9,-0.089775337,0.543639806
Brookhaven-Amesbury,2011,282277,0.323330583,17505,0.009241447,3.5,17785,2615,1550,57,45,466,589,36,0.032066841,0.500100965
Caledonia-Fairbank,2011,350116,0.33565788,9870,-0.029386343,1.5,9855,1550,855,37,1,92,16,4,-0.003951898,0.545133613
Casa-Loma,2011,907768,0.328622446,10410,0.102051412,1.9,10485,1890,475,45,77,258,101,4,0.033583406,0.444176265
Centennial-Scarborough,2011,289077,0.291116004,13065,-0.007764149,5.4,13100,1235,380,44,5,126,139,1,-0.018140121,0.484369217
Church-Yonge-Corridor,2011,565608,0.345839758,27600,0.202980883,1.4,28345,8795,2115,64,89,2443,3653,19,0.159974404,0.484961316
Clairlea-Birchmount,2011,303275,0.326389587,24105,0.044391448,7.4,24775,3560,2110,129,12,831,273,9,-0.00581225,0.456513066
Clanton-Park,2011,444868,0.325799366,14550,-0.097057115,4.2,14610,2005,1465,57,48,357,549,6,0.020725391,0.485227079
Cliffcrest,2011,301331,0.286035594,15500,0.013719309,7.1,15700,1485,635,69,8,200,497,10,-0.10274642,0.48436437
Corso-Italia-Davenport,2011,354512,0.400060029,13565,-0.11683871,1.9,13735,2340,655,73,52,420,93,5,0.015696033,0.458007063
Danforth,2011,366794,0.364180381,9375,0.025268317,1.1,9450,1420,165,53,53,414,715,2,-0.009653777,0.463450874
Danforth-Village-East-York,2011,381603,0.378563791,16630,0.041902475,2.2,16710,2450,425,53,33,167,287,8,0.006227132,0.540483172
Don-Valley-Village,2011,389743,0.338913528,26475,-0.01213259,4.1,26735,3740,4370,57,58,373,156,16,-0.021744794,0.529174353
Dorset-Park,2011,275254,0.276362709,23960,0.005459612,6,24360,3440,2445,93,31,969,510,13,0.004018396,0.52211412
Dovercourt-Wallace-Emerson-Junction,2011,394147,0.343611193,34345,-0.01642179,3.7,34635,7265,1695,137,27,890,1375,16,0.054674286,0.488903886
Downsview-Roding-CFB,2011,307942,0.308464983,34390,0.073538108,14.9,34650,5145,3600,166,88,985,527,36,-0.038383002,0.458008326
Dufferin-Grove,2011,428686,0.38886153,11375,-0.036246521,1.4,11450,2810,780,42,8,375,41,4,0.004429174,0.600269195
East-End-Danforth,2011,387338,0.402098054,20470,0.114541233,2.6,20840,2910,1075,89,46,516,1000,14,-0.005367442,0.438418126
East-York,2011,382128,0.384296039,9100,-0.011374047,2.3,9115,1100,220,74,3,134,78,4,-0.005952338,0.494148558
Edenbridge-Humber-Valley,2011,576647,0.365659518,14905,0.032912088,5.5,14945,1660,750,63,10,153,0,10,0.011029855,0.389269345
Eglinton-East,2011,297050,0.265415664,22520,-0.023192461,3.2,22830,2935,2705,61,19,296,865,33,-0.046604915,0.480710318
Elms-Old-Rexdale,2011,227358,0.240366832,9540,-0.001466807,2.9,9550,1165,540,29,1,67,463,14,0.001095655,0.476948249
Englemount-Lawrence,2011,423769,0.333991249,21210,0.065096343,3.6,22080,2785,2630,90,8,175,1688,9,0.092602576,0.498287982
Eringate-Centennial-West-Deane,2011,331149,0.29966326,18755,-0.023764997,8.6,18805,1795,615,85,10,229,104,3,-0.038010993,0.417739447
Etobicoke-West-Mall,2011,328527,0.310161793,10520,0.003224781,1.7,10925,1275,885,27,10,146,99,12,0.058143386,0.432211051
Flemingdon-Park,2011,254389,0.290869142,22155,0.039937112,2.5,22165,3290,3050,48,8,185,717,16,-0.195391123,0.457405784
Forest-Hill-North,2011,581755,0.330285194,12335,-0.019639487,1.6,12475,1770,1365,53,12,144,325,10,0.021419301,0.381184519
Forest-Hill-South,2011,978851,0.352258159,10585,0.002091391,2.5,10925,1475,320,28,25,175,233,3,-0.019990683,0.388265425
Glenfield-Jane-Heights,2011,237430,0.236131719,31035,0.008682408,5.2,31395,3915,2755,88,93,587,1587,30,-0.085064473,0.469561555
Greenwood-Coxwell,2011,371170,0.423842076,14000,-0.024613487,1.7,14075,2275,540,44,23,315,919,7,0.024574766,0.515661287
Guildwood,2011,303359,0.245280308,9610,0.01702124,3.8,9815,790,235,29,7,67,0,3,-0.015124224,0.500037909
Henry-Farm,2011,390382,0.310081448,11415,0.032758652,2.6,11340,2005,2550,27,77,717,0,8,0.440154093,0.514421771
High-Park-North,2011,508638,0.340563648,21000,0.024000088,1.9,21300,4630,1500,61,27,254,661,7,-0.450760373,0.457203355
High-Park-Swansea,2011,487233,0.346587329,21295,0.064560064,5.3,21750,3550,620,77,87,448,473,2,0.056071538,0.449651399
Highland-Creek,2011,380509,0.369259502,12880,-0.04718066,5.1,13100,1730,395,70,8,91,3,2,-0.070789707,0.47818317
Hillcrest-Village,2011,405828,0.297350174,17425,-0.073221141,5.3,17650,1700,1350,80,19,424,1028,0,0.003983785,0.53757996
Humber-Heights,2011,381728,0.288359378,9695,0.006633261,2.8,10580,1080,405,58,4,82,669,3,0.041428734,0.494886411
Humber-Summit,2011,278362,0.273892171,12505,0.009297137,7.9,12530,1555,1050,103,14,1373,124,7,-0.062949367,0.426825501
Humbermede,2011,248010,0.283376801,15835,0.108460738,4.4,15850,2265,1890,46,16,374,218,16,-0.014480429,0.446465868
Humewood-Cedarvale,2011,525038,0.366535576,14030,-0.049898479,1.9,14110,2750,835,29,10,139,445,8,0.029340431,0.467834709
Ionview,2011,243284,0.274939734,13065,-0.010085531,2,13095,1925,1555,22,15,148,332,12,0.025532238,0.515504513
Islington-City-Centre-West,2011,430196,0.363364391,37425,0.378765261,16.4,38070,6020,3305,245,128,2263,1245,16,0.312617221,0.419020632
Junction-Area,2011,390984,0.355141256,11295,-0.09971389,2.6,14015,2665,635,93,9,631,59,11,0.023933813,0.479167945
Keelesdale-Eglinton-West,2011,289621,0.309536405,10550,0.071334322,1.7,10640,1485,965,24,13,266,349,4,-0.149950702,0.469520511
Kennedy-Park,2011,245635,0.281003588,16985,0.097659357,3.6,17050,2165,1355,73,17,261,1661,14,-0.061039563,0.485798034
Kensington-Chinatown,2011,514797,0.479544063,18000,0.080154709,1.5,18500,4380,1215,49,82,1883,2597,5,-0.038998377,0.45372642
Kingsview-Village-The-Westway,2011,306583,0.262869336,21625,-0.089196506,5.1,21725,2670,1885,70,24,160,367,55,0.058135603,0.432753936
Kingsway-South,2011,667899,0.333709411,9110,0.016314931,2.6,9175,645,120,33,9,195,0,0,-0.004169106,0.403206173
L-Amoreaux,2011,319136,0.298805527,44585,-0.389992217,7.1,44915,5455,4355,138,88,443,1552,12,-0.151433408,0.542229645
Lambton-Baby-Point,2011,512574,0.24258255,7830,0.00560212,1.7,7920,940,235,28,7,66,644,0,0.007870855,0.42357006
Lansing-Westgate,2011,536190,0.272202265,14555,0.01633113,5.4,14640,2475,1765,44,37,488,0,3,0.153655211,0.533184132
Lawrence-Park-North,2011,680867,0.296410469,14510,0.041903047,2.3,14540,1345,395,55,54,381,110,0,-0.090619362,0.474155746
Lawrence-Park-South,2011,760426,0.265387899,15065,-0.043927288,3.2,15075,1505,490,39,7,167,113,1,0.000568792,0.525376565
Leaside,2011,596479,0.369836808,16450,0.017010885,4.8,17010,1230,380,62,10,313,89,5,0.008263464,0.455117448
Little-Portugal,2011,471220,0.339873184,11830,-0.016172885,1.2,12055,2855,210,22,18,344,386,6,0.185870601,0.490456687
Long-Branch,2011,356138,0.322846286,9590,-0.008734253,2.3,9630,1290,500,21,4,170,106,20,-0.142102233,0.518141844
Malvern,2011,224682,0.257496894,45000,0.082695356,8.9,45085,6315,3455,180,84,625,927,32,-0.34365467,0.505741448
